team;points;fresh_test;diff_goal;rel_goal;nr_steps
69980;;;-16,4;88,89;9
70021;3,5;0;2,4;50;8
70033;4,5;0,5;4,7;100;10
70034;9;0;-25,7;90;10
70035;;;13,0;33,33;3
70037;5,4;0,8;43,5;90;10
70038;6,75;0;-12,8;100;11
70039;8;0,2;11,5;71,43;7
70040;8;0;-6,9;81,82;11
70044;6,75;0,75;6,5;100;9
70063;5,333333333;0,666666667;7,0;100;7
70068;6;0,75;-29,8;100;8
70069;7,2;0,6;44,6;66,67;6
78724;1,666666667;0,333333333;25,3;87,5;8
78759;0;0,666666667;-25,1;100;8
78924;1,666666667;0,666666667;43,3;100;7
79118;2,5;0,5;-36,9;100;8
79309;5,4;0,8;-54,5;100;8
79313;3,333333333;0,333333333;-31,5;100;8
79316;5,4;0,6;0,1;87,5;8
79322;2;0,75;57,5;75;8
79341;2;0,75;35,1;100;8
79362;0;0,666666667;-7,7;50;6
79372;;;113,0;66,67;3
79374;1,25;0,5;-70,4;100;8
79422;1,666666667;0,666666667;22,4;83,33;6
79430;4;0,75;;;
